============================================================
HLC AUTORESEARCH EVALUATION (v2 — byte-based, gap-penalized)
============================================================

── Train (210 samples) ──
  Sample                         Orig   Comp   Ratio   Recon
  ---------------------------- ------ ------ ------- -------
  instructional_0                 377      2   99.5%  100.0%
  creative_1                      362      2   99.4%  100.0%
  academic_2                      389      2   99.5%  100.0%
  academic_3                      386      2   99.5%  100.0%
  instructional_4                 415      2   99.5%  100.0%
  legal_5                         455      1   99.8%  100.0%
  medical_6                       424      2   99.5%  100.0%
  email_7                         370      2   99.5%  100.0%
  marketing_8                     383      2   99.5%  100.0%
  technical_9                     323      2   99.4%  100.0%
  academic_10                     434      1   99.8%  100.0%
  marketing_11                    383      2   99.5%  100.0%
  business_12                     373      2   99.5%  100.0%
  email_13                        412      2   99.5%  100.0%
  instructional_14                370      2   99.5%  100.0%
  ai_conversation_15              376      2   99.5%  100.0%
  technical_16                    366      2   99.5%  100.0%
  conversational_ai_17            350      2   99.4%  100.0%
  ai_conversation_18              380      2   99.5%  100.0%
  conversational_ai_19            434      1   99.8%  100.0%
  ai_conversation_20              365      2   99.5%  100.0%
  ai_conversation_21              399      2   99.5%  100.0%
  business_22                     362      2   99.4%  100.0%
  technical_23                    325      2   99.4%  100.0%
  documentation_24                403      2   99.5%  100.0%
  support_25                      385      2   99.5%  100.0%
  technical_26                    376      2   99.5%  100.0%
  documentation_27                392      2   99.5%  100.0%
  instructional_28                386      2   99.5%  100.0%
  journalism_29                   463      1   99.8%  100.0%
  ai_conversation_30              394      2   99.5%  100.0%
  instructional_31                416      2   99.5%  100.0%
  documentation_32                405      2   99.5%  100.0%
  academic_33                     374      2   99.5%  100.0%
  marketing_34                    358      2   99.4%  100.0%
  business_35                     368      2   99.5%  100.0%
  casual_36                       316      2   99.4%  100.0%
  marketing_37                    404      2   99.5%  100.0%
  medical_38                      439      1   99.8%  100.0%
  journalism_39                   431      1   99.8%  100.0%
  support_40                      373      2   99.5%  100.0%
  ai_conversation_41              382      2   99.5%  100.0%
  medical_42                      427      2   99.5%  100.0%
  academic_43                     407      2   99.5%  100.0%
  legal_44                        438      1   99.8%  100.0%
  academic_45                     441      1   99.8%  100.0%
  conversational_ai_46            386      2   99.5%  100.0%
  creative_47                     396      2   99.5%  100.0%
  support_48                      363      2   99.4%  100.0%
  journalism_49                   439      1   99.8%  100.0%
  medical_50                      390      2   99.5%  100.0%
  instructional_51                376      2   99.5%  100.0%
  business_52                     376      2   99.5%  100.0%
  documentation_53                349      2   99.4%  100.0%
  documentation_54                430      2   99.5%  100.0%
  support_55                      370      2   99.5%  100.0%
  journalism_56                   425      2   99.5%  100.0%
  legal_57                        396      2   99.5%  100.0%
  medical_58                      440      1   99.8%  100.0%
  creative_59                     378      2   99.5%  100.0%
  legal_60                        422      2   99.5%  100.0%
  instructional_61                395      2   99.5%  100.0%
  casual_62                       330      2   99.4%  100.0%
  documentation_63                395      2   99.5%  100.0%
  academic_64                     433      1   99.8%  100.0%
  business_65                     420      2   99.5%  100.0%
  journalism_66                   439      1   99.8%  100.0%
  medical_67                      406      2   99.5%  100.0%
  conversational_ai_68            395      2   99.5%  100.0%
  casual_69                       365      2   99.5%  100.0%
  technical_70                    358      2   99.4%  100.0%
  ai_conversation_71              389      2   99.5%  100.0%
  technical_72                    362      2   99.4%  100.0%
  email_73                        381      2   99.5%  100.0%
  support_74                      353      2   99.4%  100.0%
  ai_conversation_75              393      2   99.5%  100.0%
  legal_76                        467      1   99.8%  100.0%
  support_77                      348      2   99.4%  100.0%
  conversational_ai_78            416      2   99.5%  100.0%
  journalism_79                   418      2   99.5%  100.0%
  technical_80                    339      2   99.4%  100.0%
  technical_81                    353      2   99.4%  100.0%
  email_82                        359      2   99.4%  100.0%
  documentation_83                400      2   99.5%  100.0%
  creative_84                     361      2   99.4%  100.0%
  casual_85                       280      2   99.3%  100.0%
  instructional_86                409      2   99.5%  100.0%
  documentation_87                405      2   99.5%  100.0%
  medical_88                      436      1   99.8%  100.0%
  ai_conversation_89              386      2   99.5%  100.0%
